iterations,fitness,time,fevals
0,554.0,20.602353652,1000
10,587.0,44.385494275,2100
20,634.0,64.326833992,3200
30,668.0,82.532338081,4300
40,712.0,97.785479444,5400
50,730.0,115.202914378,6500
60,744.0,129.541828607,7600
70,756.0,148.077707197,8700
80,758.0,163.008554545,9800
90,758.0,177.550724438,10900
100,764.0,198.853980657,12000
110,766.0,215.980121235,13100
120,766.0,229.764883012,14200
130,766.0,243.596727775,15300
140,770.0,259.272114309,16400
150,768.0,272.865705364,17500
160,768.0,285.906717672,18600
170,766.0,299.875285401,19700
180,772.0,322.414122628,20800
190,768.0,338.496951347,21900
200,768.0,352.851352329,23000
210,770.0,374.825170746,24100
220,768.0,390.144445604,25200
230,770.0,404.726698614,26300
240,772.0,420.320276997,27400
250,770.0,433.949580558,28500
260,770.0,446.83847618,29600
270,774.0,459.466137218,30700
280,770.0,472.410352271,31800
290,768.0,485.650035191,32900
300,768.0,499.467393042,34000
310,768.0,512.308003175,35100
320,770.0,526.090253067,36200
330,768.0,538.922417157,37300
340,770.0,552.72817811,38400
350,770.0,567.25579239,39500
360,770.0,580.533555487,40600
370,770.0,596.051774763,41700
380,772.0,610.485392894,42800
390,772.0,626.798403037,43900
400,772.0,641.366399066,45000
410,776.0,658.4593643,46100
420,774.0,671.109725085,47200
430,774.0,683.834515994,48300
440,774.0,695.799745957,49400
450,776.0,708.815618637,50500
460,774.0,723.87710334,51600
470,774.0,742.698488742,52700
480,774.0,756.587930127,53800
490,776.0,770.79319585,54900
500,774.0,784.564545972,56000
510,774.0,798.374556789,57100
520,778.0,822.630127637,58200
530,774.0,838.010447141,59300
540,768.0,856.153865664,60400
550,774.0,872.108492209,61500
560,776.0,886.249338597,62600
570,778.0,900.894654693,63700
580,774.0,914.934641812,64800
590,776.0,928.118917451,65900
600,774.0,940.883103219,67000
610,774.0,954.804242029,68100
620,776.0,969.00580068,69200
630,776.0,983.935367128,70300
640,776.0,996.916185374,71400
650,776.0,1010.75561015,72500
660,776.0,1024.38691787,73600
670,778.0,1037.89338688,74700
680,776.0,1050.95883343,75800
690,778.0,1064.2361914,76900
700,774.0,1077.74826643,78000
710,776.0,1093.27657822,79100
720,776.0,1114.24655606,80200
730,776.0,1146.33465727,81300
740,778.0,1166.61648231,82400
750,776.0,1183.63606499,83500
760,774.0,1198.74380753,84600
770,774.0,1211.83485422,85700
780,776.0,1225.07315381,86800
790,776.0,1237.05694387,87900
800,780.0,1249.10446737,89000
810,780.0,1261.32621374,90100
820,782.0,1273.3444647,91200
830,782.0,1285.17647493,92300
840,780.0,1297.01960984,93400
850,780.0,1308.83471356,94500
860,786.0,1320.79732889,95600
870,784.0,1332.2359811,96700
880,784.0,1343.78527037,97800
890,784.0,1355.40139361,98900
900,784.0,1367.06993614,100000
910,782.0,1378.66416429,101100
920,782.0,1391.61728541,102200
930,780.0,1403.28929141,103300
940,786.0,1414.94130776,104400
950,788.0,1426.89000227,105500
960,788.0,1438.62851081,106600
970,788.0,1450.09263482,107700
980,784.0,1462.10446864,108800
990,786.0,1473.92909562,109900
1000,788.0,1485.37624615,111000
1010,784.0,1496.96811626,112100
1020,786.0,1508.46909661,113200
1030,784.0,1520.06387699,114300
1040,788.0,1531.6387607,115400
1050,786.0,1542.91832992,116500
1060,788.0,1554.80768353,117600
1070,788.0,1566.16492253,118700
1080,786.0,1577.70256763,119800
1090,786.0,1589.17289429,120900
1100,788.0,1600.56880766,122000
1110,788.0,1612.33623009,123100
1120,786.0,1624.01422803,124200
1130,788.0,1635.59697418,125300
1140,790.0,1647.16830944,126400
1150,790.0,1658.41179758,127500
1160,788.0,1669.96493671,128600
1170,788.0,1681.35980102,129700
1180,792.0,1692.90106943,130800
1190,792.0,1704.24159355,131900
1200,788.0,1715.74547843,133000
1210,790.0,1727.14310804,134100
1220,790.0,1738.35311157,135200
1230,788.0,1749.79250863,136300
1240,788.0,1761.28817151,137400
1250,790.0,1772.80158091,138500
1260,790.0,1784.14656537,139600
1270,788.0,1795.38895853,140700
1280,790.0,1807.29122034,141800
1290,790.0,1818.60936003,142900
1300,792.0,1829.82933269,144000
1310,790.0,1841.47032135,145100
1320,790.0,1853.39746259,146200
1330,788.0,1864.96294059,147300
1340,788.0,1876.98893952,148400
1350,788.0,1888.64349464,149500
1360,788.0,1899.81627556,150600
1370,790.0,1911.28588796,151700
1380,788.0,1922.73753512,152800
1390,790.0,1934.00869661,153900
1400,790.0,1945.27409621,155000
1410,790.0,1956.63963779,156100
1420,786.0,1968.01280135,157200
1430,788.0,1979.44208857,158300
1440,786.0,1990.9968962,159400
1450,792.0,2002.38824208,160500
1460,788.0,2013.67635116,161600
1470,790.0,2024.94558955,162700
1480,786.0,2036.49785116,163800
1490,790.0,2047.75316076,164900
1500,792.0,2059.11366825,166000
1510,790.0,2070.39498609,167100
1520,790.0,2081.85417772,168200
1530,788.0,2093.4447161,169300
1540,790.0,2104.69476071,170400
1550,790.0,2116.28462667,171500
1560,790.0,2127.49871606,172600
1570,788.0,2138.85667276,173700
1580,790.0,2150.16567445,174800
1590,788.0,2162.28649035,175900
1600,790.0,2173.77686098,177000
1610,788.0,2185.12724228,178100
1620,788.0,2196.36552067,179200
1630,786.0,2207.75141875,180300
1640,788.0,2219.13602123,181400
1650,790.0,2230.42666373,182500
1660,790.0,2241.90670442,183600
1670,790.0,2253.12659233,184700
1680,788.0,2264.45580135,185800
1690,790.0,2275.7473528,186900
1700,790.0,2287.15337544,188000
1710,786.0,2298.60227438,189100
1720,790.0,2309.72132326,190200
1730,790.0,2321.12591062,191300
1740,788.0,2332.50894152,192400
1750,788.0,2343.61677305,193500
1760,790.0,2354.91742314,194600
1770,790.0,2366.55246048,195700
1780,792.0,2378.06753193,196800
1790,792.0,2389.53560918,197900
1800,792.0,2402.63468715,199000
1810,790.0,2414.56522404,200100
1820,792.0,2426.2317153,201200
1830,788.0,2437.62637244,202300
1840,792.0,2449.07508293,203400
1850,794.0,2460.72948646,204500
1860,792.0,2472.32048317,205600
1870,796.0,2484.03845973,206700
1880,794.0,2495.2109686,207800
1890,794.0,2506.51245936,208900
1900,794.0,2517.88076737,210000
1910,792.0,2530.87582018,211100
1920,792.0,2542.2319739,212200
1930,792.0,2553.72521336,213300
1940,792.0,2564.93347779,214400
1950,792.0,2576.3699743,215500
1960,794.0,2587.79627949,216600
1970,796.0,2599.19504924,217700
1980,794.0,2610.46270985,218800
1990,794.0,2621.61206386,219900
2000,796.0,2633.3994546,221000
2010,794.0,2644.48296703,222100
2020,794.0,2655.82886736,223200
2030,798.0,2667.23716165,224300
2040,796.0,2678.74320756,225400
2050,794.0,2689.86378786,226500
2060,796.0,2701.42330501,227600
2070,794.0,2712.85473369,228700
2080,794.0,2723.94656647,229800
2090,798.0,2735.27295543,230900
2100,796.0,2747.08690491,232000
2110,794.0,2758.52239823,233100
2120,798.0,2770.00149457,234200
2130,798.0,2781.5417512,235300
2140,798.0,2793.17780378,236400
2150,796.0,2804.25476316,237500
2160,796.0,2815.52601307,238600
2170,798.0,2826.78036012,239700
2180,798.0,2838.00097592,240800
2190,796.0,2849.25931443,241900
2200,798.0,2860.89309097,243000
2210,796.0,2872.20842279,244100
2220,796.0,2883.54606761,245200
2230,798.0,2894.70413749,246300
2240,796.0,2906.15177675,247400
2250,798.0,2917.31083618,248500
2260,800.0,2928.61873182,249600
2270,800.0,2939.9543694,250700
2280,798.0,2951.23544478,251800
2290,800.0,2962.44757467,252900
2300,798.0,2973.8467699,254000
2310,798.0,2985.43021676,255100
2320,800.0,2996.44042601,256200
2330,800.0,3007.87799135,257300
2340,802.0,3019.51983003,258400
2350,800.0,3031.03435116,259500
2360,798.0,3042.51510583,260600
2370,802.0,3054.69715275,261700
2380,798.0,3066.12500933,262800
2390,802.0,3077.4212973,263900
2400,798.0,3088.82070139,265000
2410,798.0,3100.11492404,266100
2420,798.0,3111.8871058,267200
2430,800.0,3123.71802461,268300
2440,798.0,3135.04886012,269400
2450,800.0,3146.59219649,270500
2460,800.0,3157.96443033,271600
2470,800.0,3169.4776516,272700
2480,802.0,3181.78214749,273800
2490,804.0,3193.18325907,274900
2500,800.0,3204.20743433,276000
2510,802.0,3215.66405582,277100
2520,800.0,3227.01955591,278200
2530,804.0,3238.6819534,279300
2540,802.0,3249.78678433,280400
2550,802.0,3260.99618385,281500
2560,804.0,3272.33523633,282600
2570,804.0,3283.68981333,283700
2580,804.0,3295.23650415,284800
2590,806.0,3306.54700429,285900
2600,806.0,3317.8792648,287000
2610,804.0,3329.0872364,288100
2620,802.0,3340.44576333,289200
2630,802.0,3352.66645847,290300
2640,804.0,3363.83597417,291400
2650,804.0,3375.15168722,292500
2660,802.0,3386.33538266,293600
2670,806.0,3397.63938031,294700
2680,804.0,3408.90415987,295800
2690,802.0,3420.38075649,296900
2700,802.0,3431.55935113,298000
2710,802.0,3443.07960408,299100
2720,804.0,3454.22159464,300200
2730,804.0,3465.54760253,301300
2740,804.0,3476.54035947,302400
2750,804.0,3487.69389913,303500
2760,806.0,3498.71368914,304600
2770,804.0,3509.9998805,305700
2780,802.0,3521.21299038,306800
2790,800.0,3532.59925968,307900
2800,800.0,3543.66368166,309000
2810,802.0,3554.62559623,310100
2820,802.0,3566.0347406,311200
2830,804.0,3577.35557522,312300
2840,800.0,3588.86767783,313400
