iterations,fitness,time,fevals
0,554.0,17.741448968,1000
10,595.0,34.525484668,2100
20,647.0,50.015436473,3200
30,686.0,64.24364791,4300
40,717.0,77.218184866,5400
50,741.0,89.694861775,6500
60,751.0,101.955065113,7600
70,755.0,114.222061257,8700
80,761.0,126.097373388,9800
90,761.0,137.665885491,10900
100,763.0,148.964126091,12000
110,763.0,160.351486744,13100
120,763.0,172.077579408,14200
130,765.0,183.313293109,15300
140,765.0,195.011136112,16400
150,763.0,206.245857708,17500
160,767.0,217.66745126,18600
170,763.0,228.780539735,19700
180,765.0,239.978915628,20800
190,765.0,251.670215242,21900
200,761.0,263.242266885,23000
210,761.0,274.461040373,24100
220,763.0,286.0208344,25200
230,765.0,297.330806877,26300
240,761.0,309.640749235,27400
250,763.0,321.193651702,28500
260,765.0,332.508211663,29600
270,765.0,343.973502436,30700
280,765.0,355.250023141,31800
290,767.0,366.562526689,32900
300,763.0,377.650078161,34000
310,773.0,389.082546933,35100
320,765.0,400.479300665,36200
330,771.0,411.863329376,37300
340,773.0,423.083265741,38400
350,767.0,435.049609763,39500
360,769.0,446.545589273,40600
370,771.0,458.039773011,41700
380,771.0,469.362210362,42800
390,773.0,480.538524181,43900
400,769.0,491.887122573,45000
410,771.0,503.55025397,46100
420,771.0,514.830299009,47200
430,773.0,526.037523996,48300
440,777.0,537.215146141,49400
450,775.0,548.537057716,50500
460,771.0,559.950070405,51600
470,769.0,571.149918395,52700
480,771.0,582.967249651,53800
490,771.0,594.107932588,54900
500,769.0,605.520891554,56000
510,773.0,617.879780062,57100
520,769.0,630.500365659,58200
530,773.0,643.052674767,59300
540,771.0,655.280801303,60400
550,773.0,666.656064979,61500
560,771.0,678.010995077,62600
570,771.0,689.35422114,63700
580,771.0,700.707586826,64800
590,771.0,712.153094251,65900
600,773.0,723.420282576,67000
610,775.0,734.643221275,68100
620,771.0,745.626798655,69200
630,773.0,757.052595923,70300
640,773.0,768.171888576,71400
650,779.0,779.35412363,72500
660,775.0,790.796113466,73600
670,771.0,801.930972071,74700
680,777.0,813.507587705,75800
690,771.0,824.835766309,76900
700,773.0,836.521992205,78000
710,777.0,848.440711551,79100
720,779.0,859.907335596,80200
730,777.0,871.338836806,81300
740,775.0,883.621920818,82400
750,777.0,896.774890918,83500
760,781.0,919.075962521,84600
770,781.0,952.863925139,85700
780,783.0,985.274684397,86800
790,777.0,1044.47340851,87900
800,777.0,1103.80063595,89000
810,779.0,1167.22966308,90100
820,777.0,1242.03773342,91200
830,779.0,1289.46912962,92300
840,779.0,1344.31438465,93400
850,785.0,1415.66706552,94500
860,781.0,1460.06714576,95600
870,783.0,1516.29554232,96700
880,783.0,1589.71630056,97800
890,781.0,1638.1431192,98900
900,787.0,1686.26596559,100000
910,785.0,1761.38731862,101100
920,781.0,1808.21988617,102200
930,784.0,1850.39014629,103300
940,779.0,1928.11216407,104400
950,783.0,1968.04186871,105500
960,779.0,2010.39577263,106600
970,783.0,2066.5700614,107700
980,783.0,2126.10073822,108800
990,783.0,2168.13171113,109900
1000,781.0,2207.7796399,111000
1010,783.0,2282.37125214,112100
1020,783.0,2326.15928931,113200
1030,779.0,2367.2085866,114300
1040,782.0,2443.06111964,115400
1050,781.0,2486.34808758,116500
1060,783.0,2527.02327178,117600
1070,781.0,2583.37021235,118700
1080,783.0,2642.20857612,119800
1090,781.0,2685.86407325,120900
1100,787.0,2733.16845786,122000
1110,783.0,2808.53344164,123100
1120,789.0,2850.63435307,124200
1130,785.0,2892.45001949,125300
1140,785.0,2966.73707155,126400
1150,785.0,3009.73674159,127500
1160,785.0,3052.41334564,128600
1170,787.0,3121.69845793,129700
1180,787.0,3167.25319833,130800
1190,785.0,3208.00523981,131900
1200,787.0,3252.49174224,133000
1210,785.0,3319.47394613,134100
1220,787.0,3362.46025551,135200
1230,785.0,3403.34982869,136300
1240,789.0,3476.77741621,137400
1250,787.0,3518.19446735,138500
1260,787.0,3559.133829,139600
1270,783.0,3632.72000212,140700
1280,787.0,3678.1515493,141800
1290,787.0,3717.66442409,142900
1300,787.0,3763.33415119,144000
1310,783.0,3833.07166909,145100
1320,789.0,3874.37048605,146200
1330,787.0,3913.79294188,147300
1340,787.0,3989.53668519,148400
1350,783.0,4032.65858012,149500
1360,787.0,4072.07610598,150600
1370,787.0,4139.44460213,151700
1380,785.0,4177.90478121,152800
1390,789.0,4191.65497728,153900
1400,795.0,4204.4486379,155000
1410,793.0,4229.60022514,156100
1420,791.0,4248.13752924,157200
1430,793.0,4263.59750536,158300
1440,791.0,4277.66430316,159400
1450,791.0,4291.10264257,160500
1460,791.0,4304.7717691,161600
1470,791.0,4318.76225622,162700
1480,791.0,4332.26155781,163800
1490,789.0,4346.90557088,164900
1500,791.0,4363.49632103,166000
1510,791.0,4377.15137621,167100
1520,789.0,4391.27427018,168200
1530,789.0,4404.78454741,169300
1540,791.0,4418.22519128,170400
1550,789.0,4431.28656581,171500
1560,791.0,4444.07706471,172600
1570,789.0,4457.25776462,173700
1580,791.0,4473.35004605,174800
1590,789.0,4488.00082516,175900
1600,791.0,4501.87729396,177000
1610,791.0,4516.43439474,178100
1620,791.0,4531.25278253,179200
1630,791.0,4544.92750132,180300
1640,787.0,4558.06184137,181400
1650,791.0,4572.33964409,182500
1660,791.0,4586.56707899,183600
1670,791.0,4600.31318858,184700
1680,789.0,4617.46566234,185800
1690,789.0,4631.4286238,186900
1700,791.0,4645.2143775,188000
1710,791.0,4660.87732823,189100
1720,789.0,4678.08567323,190200
1730,791.0,4690.75533829,191300
1740,791.0,4703.34395569,192400
1750,793.0,4718.08701015,193500
1760,789.0,4740.31468898,194600
1770,791.0,4756.19005343,195700
1780,793.0,4772.02027947,196800
1790,789.0,4793.18140466,197900
1800,791.0,4810.30833634,199000
1810,791.0,4828.04415245,200100
1820,791.0,4842.27102999,201200
1830,791.0,4855.03540349,202300
1840,789.0,4870.25652933,203400
1850,791.0,4885.32559194,204500
1860,791.0,4901.47335997,205600
1870,789.0,4916.77345211,206700
1880,789.0,4932.79258217,207800
1890,793.0,4949.43692326,208900
1900,791.0,4962.82745004,210000
1910,789.0,4975.70260193,211100
1920,793.0,4988.13688862,212200
1930,795.0,4999.90921389,213300
1940,791.0,5011.53899333,214400
1950,789.0,5024.34765298,215500
1960,793.0,5037.27272883,216600
1970,795.0,5050.66877448,217700
1980,791.0,5063.0635482,218800
1990,793.0,5077.45436979,219900
2000,793.0,5098.06253093,221000
2010,795.0,5119.01605614,222100
2020,791.0,5139.04237656,223200
2030,791.0,5156.26367648,224300
2040,791.0,5178.042539,225400
2050,791.0,5193.50985802,226500
2060,793.0,5211.97153835,227600
2070,791.0,5227.32352048,228700
2080,789.0,5242.51743415,229800
2090,793.0,5260.31608722,230900
2100,791.0,5277.34579462,232000
2110,793.0,5302.39029787,233100
2120,793.0,5317.55945471,234200
2130,791.0,5330.58751303,235300
2140,793.0,5343.14395974,236400
2150,797.0,5355.75053775,237500
2160,795.0,5374.1780695,238600
2170,797.0,5388.60339449,239700
2180,799.0,5401.75797447,240800
2190,795.0,5414.64028444,241900
