iterations,fitness,time,fevals
0,548.0,19.129447547,1000
10,590.0,37.880159889,2100
20,619.0,55.987632546,3200
30,672.0,77.161796631,4300
40,689.0,95.490997549,5400
50,718.0,111.626858044,6500
60,733.0,127.22256738,7600
70,743.0,142.622251784,8700
80,749.0,159.387952894,9800
90,749.0,174.708051201,10900
100,761.0,190.015157877,12000
110,757.0,209.95465949,13100
120,755.0,232.430578254,14200
130,761.0,249.044204563,15300
140,757.0,266.641537117,16400
150,759.0,283.864795066,17500
160,759.0,301.031914454,18600
170,759.0,317.306655718,19700
180,759.0,344.279833316,20800
190,765.0,370.165837389,21900
200,763.0,404.150559927,23000
210,767.0,432.173301772,24100
220,765.0,458.766184922,25200
230,763.0,473.948719515,26300
240,765.0,489.288823767,27400
250,761.0,509.085457041,28500
260,767.0,534.445667391,29600
270,763.0,555.364936029,30700
280,771.0,577.048872438,31800
290,771.0,590.927796202,32900
300,769.0,604.720899112,34000
310,773.0,617.838232946,35100
320,771.0,630.384195879,36200
330,777.0,642.938507544,37300
340,771.0,656.488657237,38400
350,775.0,670.758266963,39500
360,775.0,684.366761216,40600
370,777.0,697.690049358,41700
380,779.0,710.790170642,42800
390,773.0,724.0700656,43900
400,775.0,737.725895908,45000
410,779.0,755.996556684,46100
420,779.0,769.658397748,47200
430,777.0,784.218058767,48300
440,776.0,800.454354943,49400
450,781.0,815.985963237,50500
460,779.0,830.035453074,51600
470,771.0,845.87471158,52700
480,777.0,859.934647596,53800
490,779.0,873.759223385,54900
500,781.0,888.441076648,56000
510,784.0,905.792860477,57100
520,783.0,922.542561137,58200
530,775.0,936.933820075,59300
540,787.0,953.126880637,60400
550,781.0,967.884881607,61500
560,777.0,982.526846807,62600
570,778.0,996.229977876,63700
580,785.0,1009.71622444,64800
590,779.0,1023.40231188,65900
600,779.0,1037.11561452,67000
610,787.0,1051.35935602,68100
620,787.0,1065.25681856,69200
630,777.0,1080.07510158,70300
640,784.0,1097.4859568,71400
650,785.0,1124.19444245,72500
660,787.0,1151.68909535,73600
670,791.0,1202.046519,74700
680,795.0,1218.63255923,75800
690,787.0,1232.72658454,76900
700,785.0,1246.34429356,78000
710,789.0,1259.84703371,79100
720,787.0,1272.4846191,80200
730,793.0,1285.50926368,81300
740,795.0,1298.79372855,82400
750,793.0,1311.85385387,83500
760,789.0,1324.9459829,84600
770,791.0,1341.11899484,85700
780,785.0,1366.89173874,86800
790,793.0,1391.14751259,87900
800,789.0,1412.02737719,89000
810,783.0,1433.7485272,90100
820,789.0,1455.18069611,91200
830,793.0,1476.38861817,92300
840,795.0,1496.7393458,93400
850,791.0,1517.99594727,94500
860,791.0,1543.13449867,95600
870,787.0,1564.57959042,96700
880,793.0,1583.59274482,97800
890,787.0,1601.73511291,98900
900,795.0,1620.21289057,100000
910,787.0,1640.0732907,101100
920,793.0,1657.53013758,102200
930,791.0,1672.90115477,103300
940,797.0,1686.54653078,104400
950,789.0,1700.31574271,105500
960,791.0,1714.23271528,106600
970,795.0,1730.05896278,107700
980,793.0,1744.12198253,108800
990,797.0,1757.29988024,109900
1000,794.0,1770.37915947,111000
1010,795.0,1783.73464154,112100
1020,789.0,1796.83016783,113200
1030,793.0,1810.37335177,114300
1040,795.0,1823.39000361,115400
1050,797.0,1837.09165488,116500
1060,789.0,1849.08962648,117600
1070,795.0,1861.33943086,118700
1080,791.0,1876.28331901,119800
