iterations,fitness,time,fevals
0,555.0,17.72309657,1000
10,568.0,35.195171909,2100
20,587.0,52.094868776,3200
30,617.0,68.34835597,4300
40,618.0,85.90390055,5400
50,657.0,102.658130475,6500
60,683.0,118.909947974,7600
70,693.0,134.055684647,8700
80,702.0,148.575359008,9800
90,718.0,163.015170767,10900
100,744.0,176.874278192,12000
110,738.0,191.031775932,13100
120,748.0,205.082140551,14200
130,744.0,219.103863917,15300
140,740.0,233.259372013,16400
150,762.0,247.912448384,17500
160,766.0,261.827751855,18600
170,770.0,275.143913397,19700
180,778.0,288.961850031,20800
190,772.0,302.073496774,21900
200,786.0,315.488948427,23000
210,780.0,329.069585503,24100
220,794.0,342.492413239,25200
230,783.0,355.656908097,26300
240,786.0,368.709491326,27400
250,786.0,381.747802145,28500
260,774.0,394.885860895,29600
270,780.0,408.474755746,30700
280,796.0,421.558432883,31800
290,776.0,434.460930941,32900
300,780.0,447.854585911,34000
310,795.0,460.753063633,35100
320,798.0,475.799555996,36200
330,786.0,489.0591719,37300
340,781.0,502.008989843,38400
350,788.0,514.913578872,39500
360,778.0,528.165996942,40600
370,790.0,541.842804809,41700
380,798.0,555.648547663,42800
390,792.0,568.874374696,43900
400,804.0,582.237772872,45000
410,792.0,595.214611976,46100
420,796.0,608.390460417,47200
430,792.0,621.61586451,48300
440,800.0,634.504995323,49400
450,800.0,647.616834264,50500
460,810.0,660.67344733,51600
470,802.0,673.762856737,52700
480,808.0,686.811576223,53800
490,814.0,700.024452477,54900
500,798.0,713.143030768,56000
510,796.0,726.260317591,57100
520,788.0,739.833185102,58200
530,792.0,752.863591859,59300
540,800.0,766.310859752,60400
550,806.0,779.243921365,61500
560,808.0,792.368957529,62600
570,806.0,804.984285093,63700
580,803.0,817.897833834,64800
590,816.0,831.019212371,65900
600,810.0,844.494094441,67000
610,806.0,857.793253586,68100
620,794.0,870.945523062,69200
630,792.0,884.157552587,70300
640,802.0,897.307450455,71400
650,798.0,910.373133158,72500
660,810.0,923.431607754,73600
670,790.0,936.438769628,74700
680,803.0,949.449333921,75800
690,804.0,962.403296598,76900
700,818.0,975.281735749,78000
710,806.0,988.374238858,79100
720,810.0,1001.31004665,80200
730,808.0,1014.24794528,81300
740,804.0,1026.94554509,82400
750,814.0,1040.16588017,83500
760,810.0,1053.07146717,84600
770,812.0,1066.03280663,85700
780,801.0,1079.0706642,86800
790,808.0,1092.19115489,87900
800,806.0,1105.35564115,89000
810,804.0,1118.51045122,90100
820,806.0,1131.51698066,91200
830,806.0,1145.25580626,92300
840,802.0,1158.52149458,93400
850,806.0,1171.58035953,94500
860,804.0,1184.58436652,95600
870,820.0,1197.45178004,96700
880,814.0,1210.69600434,97800
890,804.0,1223.57624995,98900
900,812.0,1236.77326618,100000
910,816.0,1249.72613344,101100
920,806.0,1262.52564407,102200
930,820.0,1275.5633545,103300
940,802.0,1288.71675549,104400
950,814.0,1301.96735916,105500
960,818.0,1314.85260161,106600
970,812.0,1328.10825141,107700
980,818.0,1341.09886744,108800
990,824.0,1354.04848681,109900
1000,824.0,1367.07144197,111000
1010,816.0,1380.54146054,112100
1020,816.0,1393.65572083,113200
1030,816.0,1406.96318166,114300
1040,824.0,1420.09893065,115400
1050,816.0,1433.38089134,116500
1060,812.0,1448.18385205,117600
1070,810.0,1461.56807737,118700
1080,814.0,1474.71408428,119800
1090,808.0,1487.57932755,120900
1100,816.0,1500.46029672,122000
1110,814.0,1513.56244407,123100
1120,806.0,1526.93119992,124200
1130,810.0,1540.10256853,125300
1140,812.0,1553.28074672,126400
1150,814.0,1566.08789084,127500
1160,826.0,1578.9982761,128600
1170,822.0,1591.71483141,129700
1180,822.0,1604.96257302,130800
1190,822.0,1617.98068238,131900
1200,816.0,1630.88507976,133000
1210,818.0,1643.67747331,134100
