iterations,fitness,time,fevals
0,52.0,0.000679933000001,577
10,55.0,0.001411026,1065
20,55.0,0.002127138,1558
30,57.0,0.002764709,2037
40,60.0,0.00341445600001,2514
50,62.0,0.004218599,3005
60,62.0,0.005091073,3490
70,61.0,0.005678656,3968
80,63.0,0.006465063,4444
90,64.0,0.00728465000001,4945
100,62.0,0.00802081400001,5439
110,63.0,0.008947737,5918
120,64.0,0.009714583,6393
130,64.0,0.010440296,6893
140,64.0,0.011176742,7386
150,65.0,0.011951324,7870
160,65.0,0.012815874,8350
170,65.0,0.013580345,8845
180,67.0,0.015987978,9323
190,69.0,0.016772727,9802
200,65.0,0.017574917,10290
210,66.0,0.018529599,10777
220,66.0,0.019339474,11260
230,66.0,0.020123621,11735
240,65.0,0.020930363,12213
250,67.0,0.021745057,12698
260,68.0,0.022433356,13189
270,71.0,0.023282419,13671
280,69.0,0.023931231,14143
290,71.0,0.024517764,14616
300,69.0,0.025358312,15096
310,68.0,0.02600087,15579
320,69.0,0.026655048,16061
330,68.0,0.027285064,16544
340,69.0,0.0280697,17025
350,71.0,0.028775272,17509
360,71.0,0.029410788,17990
370,71.0,0.030043334,18475
380,73.0,0.030663479,18954
390,72.0,0.031281906,19436
400,73.0,0.031903308,19906
410,71.0,0.032515914,20382
420,69.0,0.033150096,20857
430,70.0,0.033782041,21343
440,72.0,0.034417757,21817
450,71.0,0.035033035,22309
460,71.0,0.03562683,22799
470,71.0,0.036284403,23272
480,70.0,0.036917321,23755
490,70.0,0.037522018,24237
500,69.0,0.03831322,24724
510,67.0,0.038963714,25200
520,67.0,0.039752101,25696
530,67.0,0.040525578,26186
540,68.0,0.041383978,26659
550,67.0,0.042114968,27144
560,66.0,0.042745193,27632
570,66.0,0.043379887,28108
580,67.0,0.044115505,28592
590,69.0,0.044774959,29073
600,68.0,0.04543322,29552
610,69.0,0.046261839,30036
620,68.0,0.046874214,30516
630,66.0,0.047628548,30989
640,67.0,0.048387463,31465
650,67.0,0.049041503,31949
660,68.0,0.049656512,32445
670,68.0,0.050277297,32923
680,68.0,0.050894677,33414
690,68.0,0.051508461,33903
700,69.0,0.052247649,34390
710,68.0,0.052921844,34873
720,67.0,0.053549992,35359
730,68.0,0.054224608,35831
740,68.0,0.054945981,36314
750,68.0,0.055559629,36793
760,67.0,0.056165296,37270
770,67.0,0.056771358,37746
780,69.0,0.057349972,38248
790,69.0,0.058049571,38731
800,68.0,0.058860164,39203
810,70.0,0.059583401,39687
820,70.0,0.060196463,40167
830,70.0,0.060819876,40643
840,70.0,0.061435213,41139
850,70.0,0.062150345,41628
860,72.0,0.062773263,42117
870,72.0,0.063384551,42605
880,70.0,0.063993612,43081
890,70.0,0.064606121,43555
900,70.0,0.065207918,44033
910,70.0,0.06581283,44517
920,72.0,0.066441079,45003
930,73.0,0.067168819,45496
940,73.0,0.067914726,45979
950,72.0,0.06873898,46451
960,74.0,0.069363383,46927
970,73.0,0.070097362,47420
980,72.0,0.07083244,47902
990,73.0,0.071559419,48385
1000,73.0,0.072283827,48872
1010,71.0,0.072925794,49357
1020,71.0,0.073546503,49827
1030,70.0,0.074160984,50302
1040,71.0,0.07478844,50780
1050,70.0,0.075602179,51261
1060,71.0,0.07635351,51740
1070,70.0,0.076984677,52217
1080,71.0,0.077612012,52702
1090,71.0,0.078252026,53183
1100,72.0,0.079127066,53675
1110,72.0,0.079852823,54171
1120,73.0,0.080647194,54654
1130,72.0,0.081236819,55146
1140,72.0,0.082042127,55629
1150,74.0,0.082692929,56102
1160,70.0,0.08328653,56593
1170,70.0,0.083889865,57073
1180,70.0,0.084499018,57556
1190,72.0,0.08510647,58035
1200,70.0,0.085697442,58533
1210,70.0,0.086316556,59008
1220,70.0,0.087032724,59503
1230,71.0,0.087599945,59987
1240,71.0,0.088384466,60469
1250,71.0,0.089249887,60960
1260,72.0,0.089887643,61446
1270,71.0,0.090494787,61931
1280,70.0,0.091098121,62412
1290,70.0,0.091721463,62908
1300,71.0,0.092336471,63396
1310,69.0,0.092980537,63883
1320,68.0,0.093679398,64371
1330,70.0,0.094299803,64863
1340,68.0,0.094949391,65340
1350,70.0,0.095781489,65817
1360,70.0,0.096492701,66302
1370,68.0,0.097098267,66788
1380,69.0,0.097690009,67276
1390,71.0,0.098296244,67755
1400,70.0,0.098975555,68235
1410,72.0,0.099898756,68719
1420,71.0,0.100844286,69201
1430,70.0,0.101566465,69691
1440,71.0,0.102316272,70160
1450,71.0,0.103179338,70651
1460,70.0,0.103769162,71123
1470,70.0,0.10439152,71602
1480,71.0,0.105061499,72084
