iterations,fitness,time,fevals
0,40.0,3.968e-05,11
10,42.0,0.000192722,21
20,46.0,0.0002316,31
30,48.0,0.000265565,41
40,50.0,0.000305528,51
50,51.0,0.000387842,61
60,53.0,0.000440226,71
70,54.0,0.000495915,81
80,54.0,0.000537396,91
90,56.0,0.000571823,101
100,56.0,0.000597038,111
110,57.0,0.000629719,121
120,58.0,0.000651441,131
130,58.0,0.000674676,141
140,60.0,0.00074559,151
150,61.0,0.000790432,161
160,62.0,0.000825557,171
170,62.0,0.00086037,181
180,64.0,0.000926884,191
190,66.0,0.000956676,201
200,67.0,0.000983002,211
210,69.0,0.001018975,221
220,70.0,0.001070181,231
230,70.0,0.001114039,241
240,70.0,0.001159674,251
250,72.0,0.001201431,261
260,72.0,0.001244411,271
270,72.0,0.001273818,281
280,73.0,0.001303318,291
290,74.0,0.00133515,301
300,74.0,0.001365384,311
310,74.0,0.001394355,321
320,74.0,0.001433384,331
330,74.0,0.001472748,341
340,74.0,0.001509427,351
350,74.0,0.0015341,361
360,75.0,0.001559256,371
370,75.0,0.001579948,381
380,75.0,0.001600565,391
390,75.0,0.001646666,401
400,75.0,0.001679064,411
410,75.0,0.00172064,421
420,75.0,0.00176897,431
430,75.0,0.001792807,441
440,76.0,0.001835545,451
450,76.0,0.001870227,461
460,76.0,0.001906852,471
470,76.0,0.001942328,481
480,78.0,0.001978519,491
490,78.0,0.002022312,501
500,78.0,0.002044581,511
510,78.0,0.002093379,521
520,78.0,0.002115629,531
530,78.0,0.002154699,541
540,78.0,0.002191905,551
550,78.0,0.002240788,561
560,78.0,0.00227998,571
570,78.0,0.00244963,581
580,79.0,0.002496058,591
590,79.0,0.00253408,601
600,79.0,0.002580698,611
610,79.0,0.003918617,621
620,80.0,0.003949495,631
630,80.0,0.004042143,641
640,80.0,0.004085536,651
650,80.0,0.00410997,661
660,80.0,0.004967527,671
670,80.0,0.005027522,681
680,80.0,0.005069565,691
690,80.0,0.0051009,701
700,80.0,0.005131543,711
710,80.0,0.005166911,721
720,80.0,0.005193917,731
730,80.0,0.005250313,741
740,80.0,0.00529336,751
750,80.0,0.005323042,761
760,80.0,0.005360194,771
770,80.0,0.005444936,781
780,80.0,0.00548309,791
790,80.0,0.005527131,801
800,80.0,0.005558413,811
810,80.0,0.005585702,821
820,80.0,0.005611681,831
830,80.0,0.00564993,841
840,80.0,0.005696926,851
850,80.0,0.005734222,861
860,80.0,0.005767356,871
870,80.0,0.005800371,881
880,80.0,0.005833672,891
890,80.0,0.005870079,901
900,80.0,0.005893913,911
910,80.0,0.005935102,921
920,80.0,0.005975387,931
930,80.0,0.006019023,941
940,80.0,0.00605894,951
950,80.0,0.006096415,961
960,80.0,0.006131488,971
