iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,14.095226452,14.0561561537,13.1540842789,0.0948148148148,0.0916666666667,0.094,0.15020809686,0.127147766323,0.173387096774,50.902876808
10,10.4784909226,10.3508333304,9.7645,0.0994444444444,0.0983333333333,0.117,0.945827232796,0.947368421053,0.947922146239,551.337953964
20,10.4432407407,10.3175,9.742,0.0994444444444,0.0983333333333,0.117,0.949518529326,0.951048951049,0.950682056663,1018.78812685
30,10.4432407407,10.3250000156,9.74964995806,0.0994444444444,0.0983333333333,0.117,0.949518529326,0.950131233596,0.949579831933,1404.07777123
40,10.4432407413,10.3175,9.742,0.0994444444444,0.0983333333333,0.117,0.949518529326,0.951048951049,0.950682056663,1802.49069137
50,10.4440740741,10.3175,9.742,0.0994444444444,0.0983333333333,0.117,0.949416342412,0.951048951049,0.950682056663,2279.56471392
60,10.444259225,10.3175,9.7415,0.0994444444444,0.0983333333333,0.118,0.949416342412,0.951048951049,0.951181102362,2673.93703976
70,10.4529402105,10.329166654,9.74155845949,0.0998148148148,0.0983333333333,0.118,0.948680494693,0.949211908932,0.951181102362,2966.26771076
80,10.4432407392,10.3175,9.742,0.0994444444444,0.0983333333333,0.117,0.949518529326,0.951048951049,0.950682056663,3254.7858014
90,10.4432407407,10.3175,9.742,0.0994444444444,0.0983333333333,0.117,0.949518529326,0.951048951049,0.950682056663,3536.95917019
100,10.4432407407,10.3175,9.742,0.0994444444444,0.0983333333333,0.117,0.949518529326,0.951048951049,0.950682056663,3843.35623738
110,10.4440740741,10.3175,9.742,0.0994444444444,0.0983333333333,0.117,0.949416342412,0.951048951049,0.950682056663,4201.96923328
120,10.4432407407,10.3175,9.74208088329,0.0994444444444,0.0983333333333,0.117,0.949518529326,0.951048951049,0.950682056663,4573.80366111
130,10.4432407407,10.3175,9.742,0.0994444444444,0.0983333333333,0.117,0.949518529326,0.951048951049,0.950682056663,4980.83992943
140,10.4432407407,10.3175,9.742,0.0994444444444,0.0983333333333,0.117,0.949518529326,0.951048951049,0.950682056663,5353.61934758
150,10.4437160288,10.3175000002,9.74200000001,0.0994444444444,0.0983333333333,0.117,0.949416342412,0.951048951049,0.950682056663,5663.08086786
160,10.4432407407,10.3175,9.742,0.0994444444444,0.0983333333333,0.117,0.949518529326,0.951048951049,0.950682056663,6016.0763042
170,10.4437037037,10.3175,9.742,0.0994444444444,0.0983333333333,0.117,0.949416342412,0.951048951049,0.950682056663,6428.61378387
180,10.4440740741,10.3175,9.742,0.0994444444444,0.0983333333333,0.117,0.949416342412,0.951048951049,0.950682056663,6828.48747256
190,10.4440740741,10.3175,9.742,0.0994444444444,0.0983333333333,0.117,0.949416342412,0.951048951049,0.950682056663,8012.1633715
200,10.4432407407,10.3175,9.742,0.0994444444444,0.0983333333333,0.117,0.949518529326,0.951048951049,0.950682056663,8489.79386043
