iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,11.3768630578,11.3196463119,10.7415233679,0.0951851851852,0.1,0.108,0.81913337085,0.807810894142,0.809785932722,32.310624357
10,12.7259299868,12.4848130884,11.9089857801,0.128518518519,0.128333333333,0.141,0.700633776563,0.718061674009,0.710404241219,380.519604439
20,11.430494841,11.4047510307,10.776140928,0.0959259259259,0.1,0.11,0.812599138908,0.79792746114,0.805658056581,726.913525712
30,11.9963753178,12.1066261004,11.3543869482,0.0872222222222,0.103333333333,0.097,0.700466486619,0.675736961451,0.684139784946,1127.22721961
40,10.4934277778,10.4006501747,9.79999999506,0.097037037037,0.095,0.114,0.941384042345,0.938053097345,0.940677966102,1525.13862502
50,10.4810747986,10.3871997718,9.78148004129,0.0964814814815,0.0933333333333,0.11,0.942341635615,0.938053097345,0.941176470588,1886.36684584
60,10.5145337588,10.3641667243,9.80364258848,0.0992592592593,0.0983333333333,0.117,0.941891229789,0.945518453427,0.944033790919,2239.2443679
70,10.4735689004,10.3433333333,9.76650888499,0.0994444444444,0.0983333333333,0.115,0.944878811572,0.946444249342,0.945703742752,2532.94370011
80,10.4442771814,10.3175,9.74414708987,0.0992592592593,0.0983333333333,0.118,0.949202024134,0.951048951049,0.950578338591,2828.87520744
90,10.4774438675,10.3535550454,9.77380664845,0.0994444444444,0.0983333333333,0.117,0.945610780197,0.946444249342,0.947368421053,3106.81330349
100,10.4596266278,10.332500018,9.76349999852,0.0992592592593,0.0983333333333,0.117,0.947471006724,0.949211908932,0.947922146239,3387.66068111
110,10.4608732339,10.3325000135,9.76349999946,0.0992592592593,0.0983333333333,0.117,0.947368421053,0.949211908932,0.947922146239,3712.27300733
120,10.4795643191,10.3474999929,9.76900000005,0.0994444444444,0.0983333333333,0.117,0.945610780197,0.947368421053,0.947368421053,4028.58385839
130,10.5523771406,10.4588622663,9.83660931512,0.1,0.1,0.119,0.937142857143,0.935111111111,0.937167199148,4665.7238033
140,10.5454270169,10.3725000004,9.80249995249,0.1,0.0983333333333,0.118,0.941026395839,0.945518453427,0.945646437995,5267.15285505
150,10.4559257134,10.3250000039,9.75205029348,0.0996296296296,0.0983333333333,0.117,0.948178453146,0.950131233596,0.949579831933,5660.90491203
160,10.4747993328,10.3632593123,9.77522107524,0.0998148148148,0.0983333333333,0.117,0.946104276508,0.945518453427,0.945703742752,6229.49511983
170,10.4571697662,10.33249999,9.747,0.0994444444444,0.0983333333333,0.118,0.947870992887,0.949211908932,0.950630252101,6751.59954889
180,10.4533333262,10.330381785,9.75199993434,0.0996296296296,0.0983333333333,0.117,0.948383326841,0.949211908932,0.949579831933,7319.20272514
190,10.4590559263,10.325,9.75150000464,0.0996296296296,0.0983333333333,0.118,0.947870992887,0.950131233596,0.950078822911,7849.11627334
200,10.4537245351,10.3325,9.75199999818,0.0996296296296,0.0983333333333,0.117,0.948383326841,0.949211908932,0.949579831933,8585.19329399
