iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,14.191410048,13.9936345996,13.2855581172,0.0962962962963,0.0933333333333,0.093,0.11143354614,0.124137931034,0.127966976264,6.287296619
10,14.1798133021,13.9758893807,13.276328188,0.0962962962963,0.0933333333333,0.093,0.11398763524,0.133790737564,0.131822863028,75.292332732
20,14.164548586,13.9632959167,13.2682855524,0.0966666666667,0.0933333333333,0.093,0.119799691834,0.13698630137,0.133744855967,154.44030782
30,14.1637733993,13.9641597576,13.2640585642,0.0964814814815,0.0933333333333,0.093,0.11943748796,0.13698630137,0.133744855967,236.059062087
40,14.1545905401,13.9641421598,13.2459168749,0.0964814814815,0.0933333333333,0.093,0.122692307692,0.13698630137,0.139487179487,316.808000115
50,14.135198526,13.9600931942,13.2385043059,0.0964814814815,0.0933333333333,0.094,0.129526729258,0.140170940171,0.14329580348,413.739328593
60,14.1368728557,13.9640813335,13.2385116783,0.0964814814815,0.0933333333333,0.094,0.128809660725,0.13698630137,0.14329580348,509.809312368
70,14.1304879636,13.9600919989,13.2381026754,0.0964814814815,0.0933333333333,0.094,0.13095921884,0.140170940171,0.14329580348,606.732786043
80,14.1093136657,13.9641277589,13.2242352606,0.0966666666667,0.0933333333333,0.094,0.137733689432,0.13698630137,0.14708886619,704.86340814
90,14.1059150129,13.934791737,13.2234007359,0.0966666666667,0.0933333333333,0.094,0.138798856053,0.146507666099,0.14708886619,802.53623271
100,14.1059164844,13.9350987099,13.222073417,0.0966666666667,0.0933333333333,0.094,0.138798856053,0.146507666099,0.148979591837,901.532904031
110,14.089235309,13.9333613038,13.2097656676,0.0966666666667,0.0933333333333,0.094,0.145164354931,0.146507666099,0.152749490835,999.703441331
120,14.063197034,13.9274723446,13.1581057496,0.0966666666667,0.0933333333333,0.094,0.153933434191,0.149659863946,0.169525731584,1098.21584498
130,14.0553265124,13.9274163618,13.1593096679,0.0966666666667,0.0933333333333,0.094,0.156373937677,0.149659863946,0.171370967742,1197.38821196
140,14.015476645,13.8564404363,13.1337924075,0.0962962962963,0.0933333333333,0.094,0.170850505807,0.174496644295,0.180541624875,1286.68339933
150,13.9931992279,13.8791557549,13.1068503571,0.0964814814815,0.0933333333333,0.094,0.180055917987,0.16835016835,0.189620758483,1374.06330028
160,13.9843840317,13.8251244639,13.0965178676,0.0964814814815,0.0933333333333,0.096,0.182765680253,0.183639398998,0.196819085487,1461.99545226
170,13.9747125524,13.8058895594,13.0883522186,0.0964814814815,0.0933333333333,0.096,0.186141556753,0.189683860233,0.198609731877,1549.62525264
180,13.9581333055,13.7983214834,13.0717575982,0.0964814814815,0.0933333333333,0.096,0.191181919229,0.1926910299,0.20396039604,1640.25999059
190,13.9521597203,13.7983157754,13.0704826287,0.0964814814815,0.0933333333333,0.096,0.19285582084,0.189683860233,0.20396039604,1719.48428311
200,13.9474135395,13.7938054374,13.0629315261,0.0964814814815,0.0933333333333,0.096,0.194860417822,0.1926910299,0.205736894164,1787.23976707
